#
# GoldenSpy File Hashes
# This file contains SHA256 hashes of known goldenspy executables
#
# FORMAT -----------------------------------------------------------------------
#
# MD5;COMMENT
# SHA1;COMMENT
# SHA256;COMMENT

285714ff750fe1b3343593b2efb7fc3e8229e755c128759faedc5654deae879a;GoldenSpy Sample
e41102043cfb9279cf1aafa89de7336a5d94fcfd0217eb590b36d119bbfaaa0f;GoldenSpy Sample
843d996888de1201acb028e45c3a36102ae53a6b97428a79097cd9756f85dd62;GoldenSpy Sample
f16c756e3bebd76d0c2ca1e73b4539a36fde97afdbb4591c7fac8f0db1492d45;GoldenSpy Sample
b6982fe4ab882cfdcba091c6617b9d279a9bcfd3e28a76d5fb2c0cdfc0c23064;GoldenSpy Sample
68472c7468b931dbbea1900bdeb4dcf10bdbfe1384e0984f4272f1a036659202;GoldenSpy Sample
6366f009e4c0303d7f5ba0bb6a529039618ff8715972713c3b6645d1aef3d4c1;GoldenSpy Sample
ce3d64f8ad4dcbbf5324e05c81a716c5d2493e149edafbc5cb73c01836bea5f2;GoldenSpy Sample
862115c6d8d6e6addeb408c45ac0a7f8a25126d5ccca6d9356143a7a683c009d;GoldenSpy Sample
c9d1ec32df1b134aa809bc8b3ad475b690347294693f6c5b65ab1df94fa4d1fd;GoldenSpy Sample
7bf45c75dca3362331d5a9a116bf9c7a52e1352905a5dee66f0cf123acc461b2;GoldenSpy Sample
67316d574d0e05549bf314b4764842e2b598f2ffae1ac82123b3dd592f605751;GoldenSpy Sample
d41081969a212dec0ca623d848fb51907d8cdb1cb7bd86e1354e3041052858fb;GoldenSpy Sample
afe2bcd5cb2de6349329c42631bfbbdba46d672f6dc515a5bee63cb4265e49f8;GoldenSpy Sample
98b5320e7464fc69b12eb626b6336604efcbf6502adc38c77f6db41666da9dd1;GoldenSpy Sample
f89e898ea40e10901c0c9f9100f269a227323ace1f7248293bfd57982dea1a67;GoldenSpy Sample
853ef8130b50e9fce5f7575afc04374de0232fa5fe6b7b4d97fda7bf17ec58c9;GoldenSpy Sample
39b914c8064becf3df1df39b0517bda05371e90b8b5fe15aad275faac634876f;GoldenSpy Sample
8b0e1be70409238e7577429df3eaa84a6b12f36d9dbb6e47607f7fc354ddb961;GoldenSpy Sample
a8169c566bf4566c6c4ba98ce7f9ecf143ae6c21dc0d7b15779c936e1ff60269;GoldenSpy Sample
55429a6085d50782be52bb2150cfabecfdaa4eb843350399c3cf88a9ab9fa4c1;GoldenSpy Sample
e8118cb2941c0421a2f6942919f8541b5fab348e2334102eab8654d2c4bff8ed;GoldenSpy Sample
2878ad6d386bc3fd9f0625195a3a60fc5056ff7ff24e57cf466e54af07d0217e;GoldenSpy Sample
af120f411c2c1f3ec52516006a25c734a5a0e4952c3eb942ad99858420c9135e;GoldenSpy Sample
a44e6b87dc1165c4c6839554dd412e98fade0a7e7c6341b9d44c0ee0dd034160;GoldenSpy Sample
561f89c566af35a90ae19285177cedaae3a0cbd7c8d415c57766e7988503c686;GoldenSpy Sample
e0e7b4f6878483bdc8c3e01d4daa11c71e61385e85a6eaa2be8fec04d250b74e;GoldenSpy Sample
c12e099fb5e825be513c75cff8b4f064b9d4ea8435bab254d69e126b74959372;GoldenSpy Sample
8c756a02e7eb863cf1375e7069a92c49fbc669c5e3ea95fb5ddab764096fa31e;GoldenSpy Sample
b1193c3f6f33686e3dd0429e6a873fb5d6f4662af7d43ed72aa4fbae557af56a;GoldenSpy Sample
6b7c7c0d1d574cbd3f7a7df1ed5a78c2340acad9ed319214c12c212dbb6e8b8d;GoldenSpy Sample
2f36085961f4569733e90c4eb2612cd3b320b60a9270450d30b1943ffefa78a4;GoldenSpy Sample
a78162bbb5d2b1e90f6bff13e246b7b6f1407b6fe58ba968764aaf8352920c33;GoldenSpy Sample
3b63900e56a7eccee43d42a77fcb6d7834943f5236adae063abe32111f35152d;GoldenSpy Sample
5246fc50cce0b3492939a169082eebfde63c9ebc312267eef6d1bb47b44c44aa;GoldenSpy Sample
534da7cf722968de28eceff23e2924e180bf2c59f3852fb58a4653f8a54fa69a;GoldenSpy Sample
817887f4e977443cb446579f080ae848a2235b79f8c174e7201cebf62e9ccd94;GoldenSpy Sample
323d0cf9ac1c750761f66482154dbd3144dae7336c955a4576cb4cce6438a6ba;GoldenSpy Sample
c4fc73dbfc0d61a0a60239971225321b882af5923babf26c324726b80db612a2;GoldenSpy Sample

d29f78f020e3e50f6692470ad725cb684aa2644596ea0c1b332145a62a6f6a66;GoldenSpy Uninstaller Sample
82fb179572b6c4ce92bb2a9950675a135cb88aa64e1b4ca93288f4058a8886f3;GoldenSpy Uninstaller Sample
63163b1358e60631f0baf9d04cd8398ca45228ed43d3df48a8b7749fd4181fdf;GoldenSpy Uninstaller Sample
a9a6116f7a4f592c6bd75e09d9562fe6e21cc9067f6a60cb5d56704a3b746608;GoldenSpy Uninstaller Sample
dfed03b4d22eb818859fdb5cca94ac90d7a538f6bca9a086c9a86806c07f8fe2;GoldenSpy Uninstaller Sample
a26a8103df2d4fd152def868cfead5e1e2c9b333d0d0110cee02c06a98f1c188;GoldenSpy Uninstaller Sample
8215972987c85e180e7df1a17bac6575df92fe882d0092bf470d2ce651db2585;GoldenSpy Uninstaller Sample
7b1578fd81d09729784a8200fe79e9255cdd695ac882ec3db22219277c4f675e;GoldenSpy Uninstaller Sample
3a184ed46b10e27515f8f8726a91886296f7ab1e9c05552b1189d828f15ccb3f;GoldenSpy Uninstaller Sample
48dbe64eea55a0e579a2e8e12bfe3eb38416563c70a0c49e9ab2d72ac90254ce;GoldenSpy Uninstaller Sample
5684427b6cd6752bea95cdde7772b28ba0051be97045eef8224a63b5f3da3398;GoldenSpy Uninstaller Sample
10e8c9ade8687cfb2badb23c90e8f025c2b2e35d0934d287e19c2b14746395c2;GoldenSpy Uninstaller Sample
e6466b2761600ac993bb0d46e3707fb059edd9212d671c5736cf25070a076508;GoldenSpy Uninstaller Sample
7f5ed71f18937ecc6db9520ca9a9d16e3c113609c7a9a99a29ba74687f1349d2;GoldenSpy Uninstaller Sample
7d48f65ff9e904ac98e0f41b94f04723ce907fc221efffbbf83545ca167fe921;GoldenSpy Uninstaller Sample
985cc0b818fee90bf0cd3b76b60239b5f4eae55f64280c8cca1a667950fb2e4a;GoldenSpy Uninstaller Sample
7b014a03f58545736685fbad24d65b6324c0c2ad627fadfdb772e1ddcdd15f6c;GoldenSpy Uninstaller Sample
953cec896a79dc12eecc8e1e48f3b0e43bc9d95bb19dbd7318bae45027ff1334;GoldenSpy Uninstaller Sample
ac9253dec9288e1277c4b6e842c75de99d156db5ac4516c0780bc2e87b2410c9;GoldenSpy Uninstaller Sample
9e7957475fb3d849fb1f5bcce5b110f87a47bac621d4a31989c6f5d154b6e0ee;GoldenSpy Uninstaller Sample
